day,role,name,x,y,energy,age,alive,action,weather,weather_factor,resource_regen,move_prob_prey,predation_success_prob
1,prey,Plijen1,0,1,6.0,1,True,reproduce,cloudy,0.95,2,0.5,0.7
1,prey,Plijen2,0,5,6.0,1,True,reproduce,cloudy,0.95,2,0.5,0.7
1,prey,Plijen3,1,4,11.2,1,True,move,cloudy,0.95,2,0.5,0.7
1,prey,Plijen4,7,7,6.0,1,True,reproduce,cloudy,0.95,2,0.5,0.7
1,prey,Plijen5,7,8,6.0,1,True,reproduce,cloudy,0.95,2,0.5,0.7
1,predator,Predator1,7,9,7.0,1,True,reproduce,cloudy,0.95,2,0.5,0.7
1,predator,Predator2,2,5,7.0,1,True,reproduce,cloudy,0.95,2,0.5,0.7
2,prey,Plijen1,0,1,5.2,2,True,move,sunny,1.0,2,0.5,0.7
2,prey,Plijen2,0,4,5.2,2,True,move,sunny,1.0,2,0.5,0.7
2,prey,Plijen3,1,4,11.0,2,True,rest,sunny,1.0,2,0.5,0.7
2,prey,Plijen4,7,8,5.2,2,True,move,sunny,1.0,2,0.5,0.7
2,prey,Plijen5,7,9,5.2,2,True,move,sunny,1.0,2,0.5,0.7
2,prey,Plijen1_child9911,0,1,5.8,1,True,rest,sunny,1.0,2,0.5,0.7
2,prey,Plijen2_child5466,1,5,5.2,1,True,move,sunny,1.0,2,0.5,0.7
2,prey,Plijen4_child1291,7,7,5.8,1,True,rest,sunny,1.0,2,0.5,0.7
2,prey,Plijen5_child4945,7,8,5.8,1,True,rest,sunny,1.0,2,0.5,0.7
2,predator,Predator1,6,9,5.8,2,True,search,sunny,1.0,2,0.5,0.7
2,predator,Predator2,1,5,5.8,2,True,search,sunny,1.0,2,0.5,0.7
2,predator,Predator1_child3718,7,8,5.8,1,True,search,sunny,1.0,2,0.5,0.7
2,predator,Predator2_child5542,2,6,5.8,1,True,search,sunny,1.0,2,0.5,0.7
3,prey,Plijen1,0,1,5.2,3,True,feed,rainy,0.85,2,0.5,0.7
3,prey,Plijen2,0,5,4.4,3,True,move,rainy,0.85,2,0.5,0.7
3,prey,Plijen3,1,4,10.8,3,True,rest,rainy,0.85,2,0.5,0.7
3,prey,Plijen4,7,8,5.2,3,True,feed,rainy,0.85,2,0.5,0.7
3,prey,Plijen5,7,9,4.4,3,True,move,rainy,0.85,2,0.5,0.7
3,prey,Plijen1_child9911,0,1,5.8,2,True,feed,rainy,0.85,2,0.5,0.7
3,prey,Plijen2_child5466,1,5,5.2,2,True,feed,rainy,0.85,2,0.5,0.7
3,prey,Plijen4_child1291,7,7,5.8,2,True,feed,rainy,0.85,2,0.5,0.7
3,prey,Plijen5_child4945,7,8,5.8,2,True,feed,rainy,0.85,2,0.5,0.7
3,predator,Predator1,6,9,4.6,3,True,hunt,rainy,0.85,2,0.5,0.7
3,predator,Predator2,2,5,4.6,3,True,hunt,rainy,0.85,2,0.5,0.7
3,predator,Predator1_child3718,7,9,4.6,2,True,hunt,rainy,0.85,2,0.5,0.7
3,predator,Predator2_child5542,2,7,4.6,2,True,search,rainy,0.85,2,0.5,0.7
4,prey,Plijen1,0,1,8.9,4,True,rest,sunny,1.0,2,0.5,0.7
4,prey,Plijen2,0,6,3.6000000000000005,4,True,move,sunny,1.0,2,0.5,0.7
